Year	England	Scotland	UK	Wales
1993	9.15833333333333	6.85833333333333	8.325	8.66666666666667
1994	9.83333333333333	7.14166666666667	8.83333333333333	9.225
1995	10.075	7.46666666666667	9.15	9.625
1996	8.79166666666667	6.93333333333333	8.15	8.325
1997	10.15	8.00833333333333	9.36666666666667	9.64166666666667
1998	9.975	7.54166666666667	9.11666666666667	9.49166666666667
1999	10.25	7.7	9.34166666666667	9.68333333333333
2000	9.925	7.58333333333333	9.05833333333333	9.33333333333333
2001	9.64166666666667	7.31666666666667	8.80833333333333	9.08333333333333
2002	10.2833333333333	8	9.45	9.625
2003	10.2416666666667	8.18333333333334	9.475	9.6
2004	10.225	8.09166666666667	9.45833333333334	9.68333333333333
2005	10.1583333333333	8.05	9.40833333333333	9.68333333333333
2006	10.5666666666667	8.20833333333333	9.69166666666667	9.91666666666667
2007	10.3583333333333	8.16666666666667	9.575	9.85833333333333
2008	9.83333333333333	7.66666666666667	9.03333333333333	9.30833333333334
2009	9.94166666666667	7.8	9.14166666666667	9.29166666666667
2010	8.83333333333333	6.80833333333333	8.09166666666667	8.21666666666667
2011	10.5583333333333	8.03333333333333	9.625	9.91666666666667
2012	9.55	7.30833333333333	8.75	9.1
2013	9.39166666666667	7.49166666666667	8.725	8.98333333333333
2014	10.7666666666667	8.43333333333333	9.875	10.0916666666667
2015	10.1333333333333	7.54166666666667	9.16666666666667	9.475
2016	10.1333333333333	7.8	9.29166666666667	9.64166666666667
2017	10.9181818181818	8.48181818181818	10.0363636363636	10.3181818181818
